/*********************************************
 * OPL 12.7.1.0 Data
 * Author: varas
 * Creation Date: 03-12-2018 at 12:57:49
 *********************************************/
n=33;
 D=[
[0 2532 2664 2254 2265 1831 2031 1459 1303 779 957 575 605 523 516 414 386 386 200 98 113 43 33 292 149 462 515 813 543 1278 1848 2636 2633],
[2532 0 141 305 266 719 598 1074 1240 1842 1577 1995 2004 2022 2090 2190 2150 2397 2339 2437 2487 2502 2564 2712 2601 2882 2935 3233 2962 3698 4268 5056 5052],
[2664 141 0 441 397 850 740 1205 1372 1973 1708 2127 2136 2153 2222 2321 2281 2528 2471 2569 2618 2634 2697 2843 2733 3013 3066 3364 3094 3829 4399 5187 5184],
[2254 305 441 0 55 316 388 795 961 1563 1298 1716 1725 1743 1811 1911 1871 2118 2060 2158 2208 2224 2287 2433 2322 2603 2653 2954 2683 3419 3989 4777 4773],
[2265 266 397 55 0 451 331 806 973 1574 1309 1728 1737 1754 1823 1922 1882 2129 2072 2170 2219 2235 2298 2444 2334 2614 2667 2965 2695 3430 4000 4788 4785],
[1831 719 850 316 451 0 217 373 539 1140 876 1294 1303 1320 1389 1489 1448 1695 1638 1736 1785 1801 1864 2011 1900 2181 2233 2532 2261 2996 3566 4355 4351],
[2031 598 740 388 331 217 0 572 538 1340 1075 1494 1503 1520 1588 1688 1648 1895 1838 1936 1985 2001 2064 2210 2100 2380 2433 2731 2460 3196 3766 4321 4318],
[1459 1074 1205 795 806 373 572 0 166 768 403 921 930 948 1016 1116 1076 1323 1265 1364 1413 1429 1492 1638 1527 1808 1861 2159 1888 2624 3194 3982 3978],
[1103 1240 1372 961 973 539 538 166 0 612 348 766 575 792 861 961 920 1167 1110 1208 1257 1273 1336 1482 1372 1652 1705 2003 1733 2468 3038 3826 3823],
[779 1842 1973 1563 1574 1140 1340 768 612 0 266 241 250 268 336 436 396 643 585 684 733 749 812 958 847 1128 1181 1479 1208 1944 2514 3302 3298],
[957 1577 1708 1298 1309 876 1075 403 348 266 0 420 429 446 515 615 574 821 764 862 911 927 990 1137 1026 1306 1359 1658 1387 2122 2692 3480 3477],
[575 1995 2127 1716 1728 1294 1494 921 766 241 420 0 145 69 133 284 192 439 382 480 529 545 608 754 644 924 977 1275 1005 1740 2310 3098 3095],
[605 2004 2136 1725 1737 1103 1503 930 575 250 429 145 0 126 162 223 222 469 412 510 559 575 638 784 674 954 1007 1305 1034 1770 2340 3128 3125],
[523 2022 2153 1743 1754 1320 1520 948 792 268 446 69 126 0 81 224 140 387 330 428 477 493 556 703 592 872 925 1224 953 1688 2258 3046 3043],
[516 2090 2222 1811 1823 1389 1588 1016 861 336 515 133 162 81 0 246 133 380 323 421 470 486 549 695 585 865 918 1216 946 1681 2251 3039 3036],
[414 2190 2321 1911 1922 1489 1688 1116 961 436 615 284 223 224 246 0 154 158 221 319 368 384 447 594 483 764 816 1115 844 1579 2149 2938 2934],
[386 2150 2281 1871 1882 1448 1648 1076 920 396 574 192 222 140 133 154 0 250 193 291 340 356 419 566 455 735 788 1087 816 1551 2121 2909 2906],
[386 2397 2528 2118 2129 1695 1895 1323 1167 643 821 439 469 387 380 158 250 0 193 291 340 356 419 566 455 735 788 1087 816 1551 2121 2909 2906],
[200 2339 2471 2060 2072 1638 1838 1265 1110 585 764 382 412 330 323 221 193 193 0 105 154 170 233 380 269 549 602 901 630 1365 1935 2723 2720],
[98 2437 2569 2158 2170 1736 1936 1364 1208 684 862 480 510 428 421 319 291 291 105 0 45 68 131 282 171 452 504 803 532 1264 1834 2622 2622],
[113 2487 2618 2208 2219 1785 1985 1413 1257 733 911 529 559 477 470 368 340 340 154 45 0 79 148 256 145 426 478 777 506 1241 1811 2600 2596],
[43 2502 2634 2224 2235 1801 2001 1429 1273 749 927 545 575 493 486 384 356 356 170 68 79 0 78 266 155 436 488 787 516 1251 1821 2610 2606],
[33 2564 2697 2287 2298 1864 2064 1492 1336 812 990 608 638 556 549 447 419 419 233 131 148 78 0 258 134 428 481 779 508 1244 1814 2602 2598],
[292 2712 2843 2433 2444 2011 2210 1638 1482 958 1137 754 784 703 695 594 566 566 380 282 256 266 258 0 131 169 222 520 250 985 1555 2343 2340],
[149 2601 2733 2322 2334 1900 2100 1527 1372 847 1026 644 674 592 585 483 455 455 269 171 145 155 134 131 0 300 353 651 380 1116 1686 2474 2470],
[462 2882 3013 2603 2614 2181 2380 1808 1652 1128 1306 924 954 872 865 764 735 735 549 452 426 436 428 169 300 0 82 381 110 845 1415 2204 2200],
